Season,Season_CN,Site_ID,YearMonth,Site_Month,Extreme,Normal,Normal_Hours,Extreme_Hours,Pass_Normal_72h,Pass_Extreme_72h,Eligible_For_Seasonal_LMM,Failure_Reason
Autumn,秋季(9-11月),95332234,2025-11,95332234_2025-11,0,312,312,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332235,2025-09,95332235_2025-09,0,576,576,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332235,2025-10,95332235_2025-10,0,480,480,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332235,2025-11,95332235_2025-11,0,528,528,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332236,2025-09,95332236_2025-09,0,648,648,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332236,2025-10,95332236_2025-10,0,264,264,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332236,2025-11,95332236_2025-11,0,624,624,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332237,2025-09,95332237_2025-09,0,408,408,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332237,2025-10,95332237_2025-10,0,144,144,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332237,2025-11,95332237_2025-11,0,312,312,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332238,2025-09,95332238_2025-09,0,312,312,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332238,2025-10,95332238_2025-10,0,264,264,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332238,2025-11,95332238_2025-11,0,624,624,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332239,2025-09,95332239_2025-09,0,384,384,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332239,2025-10,95332239_2025-10,0,504,504,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332239,2025-11,95332239_2025-11,0,264,264,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332240,2025-09,95332240_2025-09,0,288,288,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332240,2025-10,95332240_2025-10,0,120,120,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332240,2025-11,95332240_2025-11,0,552,552,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332242,2025-09,95332242_2025-09,72,264,264,72,True,True,True,eligible
Autumn,秋季(9-11月),95332242,2025-10,95332242_2025-10,0,240,240,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332242,2025-11,95332242_2025-11,0,408,408,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332243,2025-09,95332243_2025-09,24,432,432,24,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332243,2025-10,95332243_2025-10,0,648,648,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332243,2025-11,95332243_2025-11,0,456,456,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332244,2025-09,95332244_2025-09,0,624,624,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332244,2025-10,95332244_2025-10,0,432,432,0,True,False,False,extreme_below_72h
Autumn,秋季(9-11月),95332244,2025-11,95332244_2025-11,0,528,528,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332217,2025-03,95332217_2025-03,0,168,168,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332217,2025-04,95332217_2025-04,216,288,288,216,True,True,True,eligible
Spring,春季(3-5月),95332217,2025-05,95332217_2025-05,0,264,264,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332218,2025-03,95332218_2025-03,0,168,168,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332218,2025-04,95332218_2025-04,24,192,192,24,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332218,2025-05,95332218_2025-05,0,504,504,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332219,2025-03,95332219_2025-03,0,192,192,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332219,2025-04,95332219_2025-04,48,192,192,48,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332219,2025-05,95332219_2025-05,0,480,480,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332220,2025-03,95332220_2025-03,0,120,120,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332220,2025-04,95332220_2025-04,168,240,240,168,True,True,True,eligible
Spring,春季(3-5月),95332220,2025-05,95332220_2025-05,0,600,600,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332221,2025-03,95332221_2025-03,0,288,288,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332221,2025-04,95332221_2025-04,0,456,456,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332221,2025-05,95332221_2025-05,0,552,552,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332222,2025-03,95332222_2025-03,0,264,264,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332222,2025-04,95332222_2025-04,0,432,432,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332222,2025-05,95332222_2025-05,0,528,528,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332223,2025-03,95332223_2025-03,0,240,240,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332223,2025-04,95332223_2025-04,0,408,408,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332223,2025-05,95332223_2025-05,0,528,528,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332224,2025-03,95332224_2025-03,0,168,168,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332224,2025-04,95332224_2025-04,0,432,432,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332224,2025-05,95332224_2025-05,0,576,576,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332225,2025-03,95332225_2025-03,0,240,240,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332225,2025-04,95332225_2025-04,0,456,456,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332225,2025-05,95332225_2025-05,0,504,504,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332226,2025-03,95332226_2025-03,0,456,456,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332226,2025-04,95332226_2025-04,0,360,360,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332226,2025-05,95332226_2025-05,0,336,336,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332227,2025-03,95332227_2025-03,0,360,360,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332227,2025-04,95332227_2025-04,0,384,384,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332227,2025-05,95332227_2025-05,0,456,456,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332228,2025-03,95332228_2025-03,0,336,336,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332228,2025-04,95332228_2025-04,0,480,480,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332228,2025-05,95332228_2025-05,0,312,312,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332229,2025-03,95332229_2025-03,0,336,336,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332229,2025-04,95332229_2025-04,0,360,360,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332229,2025-05,95332229_2025-05,0,216,216,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332230,2025-03,95332230_2025-03,0,312,312,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332230,2025-04,95332230_2025-04,0,552,552,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332230,2025-05,95332230_2025-05,0,384,384,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332231,2025-03,95332231_2025-03,0,216,216,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332231,2025-04,95332231_2025-04,0,552,552,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332231,2025-05,95332231_2025-05,0,528,528,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332232,2025-03,95332232_2025-03,0,192,192,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332232,2025-04,95332232_2025-04,0,528,528,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332232,2025-05,95332232_2025-05,0,216,216,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332233,2025-03,95332233_2025-03,0,192,192,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332233,2025-04,95332233_2025-04,0,528,528,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332233,2025-05,95332233_2025-05,0,360,360,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332234,2025-03,95332234_2025-03,0,168,168,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332234,2025-04,95332234_2025-04,0,192,192,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332234,2025-05,95332234_2025-05,0,360,360,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332235,2025-03,95332235_2025-03,0,96,96,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332235,2025-04,95332235_2025-04,240,240,240,240,True,True,True,eligible
Spring,春季(3-5月),95332235,2025-05,95332235_2025-05,0,600,600,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332236,2025-03,95332236_2025-03,0,72,72,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332236,2025-04,95332236_2025-04,240,192,192,240,True,True,True,eligible
Spring,春季(3-5月),95332236,2025-05,95332236_2025-05,0,648,648,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332237,2025-03,95332237_2025-03,0,192,192,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332237,2025-04,95332237_2025-04,0,216,216,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332237,2025-05,95332237_2025-05,0,456,456,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332238,2025-03,95332238_2025-03,0,216,216,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332238,2025-04,95332238_2025-04,0,264,264,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332238,2025-05,95332238_2025-05,0,624,624,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332239,2025-03,95332239_2025-03,0,168,168,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332239,2025-04,95332239_2025-04,0,336,336,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332239,2025-05,95332239_2025-05,0,648,648,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332240,2025-03,95332240_2025-03,0,168,168,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332240,2025-04,95332240_2025-04,0,480,480,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332240,2025-05,95332240_2025-05,0,528,528,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332242,2025-03,95332242_2025-03,0,360,360,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332242,2025-04,95332242_2025-04,0,288,288,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332242,2025-05,95332242_2025-05,0,120,120,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332243,2025-03,95332243_2025-03,0,336,336,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332243,2025-04,95332243_2025-04,0,408,408,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332243,2025-05,95332243_2025-05,0,288,288,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332244,2025-03,95332244_2025-03,0,96,96,0,True,False,False,extreme_below_72h
Spring,春季(3-5月),95332244,2025-04,95332244_2025-04,240,312,312,240,True,True,True,eligible
Spring,春季(3-5月),95332244,2025-05,95332244_2025-05,0,408,408,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332217,2025-06,95332217_2025-06,24,0,0,24,False,False,False,both_below_72h
Summer,夏季(6-8月),95332217,2025-07,95332217_2025-07,0,144,144,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332217,2025-08,95332217_2025-08,0,384,384,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332218,2025-06,95332218_2025-06,0,264,264,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332218,2025-07,95332218_2025-07,0,144,144,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332218,2025-08,95332218_2025-08,0,336,336,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332219,2025-06,95332219_2025-06,48,48,48,48,False,False,False,both_below_72h
Summer,夏季(6-8月),95332219,2025-07,95332219_2025-07,0,216,216,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332219,2025-08,95332219_2025-08,0,312,312,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332220,2025-06,95332220_2025-06,0,624,624,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332220,2025-07,95332220_2025-07,0,408,408,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332220,2025-08,95332220_2025-08,0,360,360,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332221,2025-06,95332221_2025-06,0,480,480,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332221,2025-07,95332221_2025-07,0,360,360,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332221,2025-08,95332221_2025-08,72,120,120,72,True,True,True,eligible
Summer,夏季(6-8月),95332222,2025-06,95332222_2025-06,0,456,456,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332222,2025-07,95332222_2025-07,0,336,336,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332222,2025-08,95332222_2025-08,0,120,120,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332223,2025-06,95332223_2025-06,0,408,408,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332223,2025-07,95332223_2025-07,0,312,312,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332223,2025-08,95332223_2025-08,0,120,120,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332224,2025-06,95332224_2025-06,0,456,456,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332224,2025-07,95332224_2025-07,0,312,312,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332224,2025-08,95332224_2025-08,0,144,144,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332225,2025-06,95332225_2025-06,0,144,144,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332225,2025-07,95332225_2025-07,0,456,456,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332225,2025-08,95332225_2025-08,120,264,264,120,True,True,True,eligible
Summer,夏季(6-8月),95332226,2025-06,95332226_2025-06,0,408,408,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332226,2025-08,95332226_2025-08,24,120,120,24,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332227,2025-06,95332227_2025-06,0,432,432,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332227,2025-07,95332227_2025-07,0,144,144,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332227,2025-08,95332227_2025-08,120,240,240,120,True,True,True,eligible
Summer,夏季(6-8月),95332228,2025-06,95332228_2025-06,0,432,432,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332228,2025-07,95332228_2025-07,0,120,120,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332228,2025-08,95332228_2025-08,216,264,264,216,True,True,True,eligible
Summer,夏季(6-8月),95332229,2025-06,95332229_2025-06,0,432,432,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332229,2025-07,95332229_2025-07,0,48,48,0,False,False,False,both_below_72h
Summer,夏季(6-8月),95332229,2025-08,95332229_2025-08,24,264,264,24,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332230,2025-06,95332230_2025-06,0,432,432,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332230,2025-07,95332230_2025-07,0,168,168,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332230,2025-08,95332230_2025-08,168,264,264,168,True,True,True,eligible
Summer,夏季(6-8月),95332231,2025-06,95332231_2025-06,0,120,120,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332231,2025-07,95332231_2025-07,0,408,408,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332231,2025-08,95332231_2025-08,96,240,240,96,True,True,True,eligible
Summer,夏季(6-8月),95332232,2025-06,95332232_2025-06,0,360,360,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332232,2025-07,95332232_2025-07,0,192,192,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332232,2025-08,95332232_2025-08,0,336,336,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332233,2025-06,95332233_2025-06,24,480,480,24,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332233,2025-07,95332233_2025-07,0,216,216,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332233,2025-08,95332233_2025-08,0,168,168,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332234,2025-06,95332234_2025-06,0,72,72,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332234,2025-07,95332234_2025-07,0,288,288,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332234,2025-08,95332234_2025-08,0,336,336,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332235,2025-06,95332235_2025-06,0,384,384,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332235,2025-07,95332235_2025-07,0,240,240,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332235,2025-08,95332235_2025-08,0,672,672,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332236,2025-06,95332236_2025-06,48,432,432,48,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332236,2025-07,95332236_2025-07,0,168,168,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332236,2025-08,95332236_2025-08,0,216,216,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332237,2025-06,95332237_2025-06,0,384,384,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332237,2025-07,95332237_2025-07,0,336,336,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332237,2025-08,95332237_2025-08,0,384,384,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332238,2025-06,95332238_2025-06,24,480,480,24,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332238,2025-07,95332238_2025-07,0,192,192,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332238,2025-08,95332238_2025-08,0,360,360,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332239,2025-06,95332239_2025-06,24,480,480,24,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332239,2025-07,95332239_2025-07,0,312,312,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332239,2025-08,95332239_2025-08,0,96,96,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332240,2025-06,95332240_2025-06,0,456,456,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332240,2025-07,95332240_2025-07,0,216,216,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332240,2025-08,95332240_2025-08,0,168,168,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332242,2025-06,95332242_2025-06,0,432,432,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332242,2025-08,95332242_2025-08,0,312,312,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332243,2025-06,95332243_2025-06,0,408,408,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332243,2025-07,95332243_2025-07,0,72,72,0,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332243,2025-08,95332243_2025-08,24,264,264,24,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332244,2025-06,95332244_2025-06,48,408,408,48,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332244,2025-07,95332244_2025-07,24,120,120,24,True,False,False,extreme_below_72h
Summer,夏季(6-8月),95332244,2025-08,95332244_2025-08,0,312,312,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332217,2025-02,95332217_2025-02,0,96,96,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332217,2025-12,95332217_2025-12,0,696,696,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332218,2025-02,95332218_2025-02,0,72,72,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332218,2025-12,95332218_2025-12,0,736,736,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332219,2025-02,95332219_2025-02,0,120,120,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332219,2025-12,95332219_2025-12,0,720,720,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332220,2025-02,95332220_2025-02,24,48,48,24,False,False,False,both_below_72h
Winter,冬季(12-2月),95332220,2025-12,95332220_2025-12,0,688,688,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332221,2025-02,95332221_2025-02,0,72,72,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332221,2025-12,95332221_2025-12,0,168,168,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332222,2025-02,95332222_2025-02,0,48,48,0,False,False,False,both_below_72h
Winter,冬季(12-2月),95332222,2025-12,95332222_2025-12,0,168,168,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332223,2025-02,95332223_2025-02,0,72,72,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332223,2025-12,95332223_2025-12,0,264,264,0,True,False,False,extreme_below_72h
Winter,冬季(12-2月),95332224,2025-02,95332224_2025-02,0,24,24,0,False,False,False,both_below_72h
Winter,冬季(12-2月),95332224,2025-12,95332224_2025-12,0,240,240,0,True,False,False,extreme_below_72h
